Mac,US,EqHex,Node,Amp,Cab,Lat,Long
80377305aaf0,37.6,080118000000000000010000000000010000ffff000000020001fffdfffe000507ff00000006ffe9fffc00050004fffe0004fff5fffffffc000000010000fffe0000000000000000000000010000000000000000000000000000ffff0000000000000000,A1M/1-1A1B,A1MBG,A1MBG02,55.977886,-3.1935125
80377305aaf0,31,08011800fffe000000020000ffff00000001fffefffd00030004fffcfff9000807ff0000fffdffef000200050004fff90018fff60001fffe000100000000ffff00010000000000000000000000010000000000000000000000000000ffff000000000000,A1M/1-1A1B,A1MBG,A1MBG02,55.977886,-3.1935125
8037733e8180,37.6,0801180000000000000000020001fffefffe00020002fffcfffc00080002ffea07ff00000006fff200020002ffff000000020000fffe000000020001fffe0001000000020001000000000000000100000000000100010000000000010000000000000000,A1M/1-1A1B,A1MDJ,A1MDJ01,55.9750525,-3.1826418
8037733e8180,31,080118000000000000000000000000000000000000000000000000000000000007ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,A1M/1-1A1B,A1MDJ,A1MDJ01,55.9750525,-3.1826418
80377340307c,31,08011800000100000002000100010001fffffffc00020004fffdfff60005001107fe0000000affe1000c000cfffbfff10025fff80005fffc000200030001fffc000000020000fffe000200010000000000000001ffff0000000000010003000000000000,A1M/1-1A1B,A1MBD,A1MBD07,55.9784115,-3.1865414
80377340307c,24.4,080118000001fffe000000000002fffefff80003000cfff6ffe80012002fffe007f70000003b00870017fffffff6001100340016fffe001e0004fff8fffd00090000fffbffff0004ffff0000ffff00030000000000000002ffff0001000000000001ffff,A1M/1-1A1B,A1MBD,A1MBD07,55.9784115,-3.1865414
803773414664,24.4,080118000000000000000000000000000000000000000000000000000000000007ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,NULL,NULL,NULL,NULL,NULL
803773414664,31,080118000000000000000000000000000000000000000000000000000000000007ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,NULL,NULL,NULL,NULL,NULL
803773439a74,31,08011800ffff00000002000000010001fffcfffb00050009fff4ffef001a002107fa0000001fff9e0023001d0001ffea004cffed0001fff50008000a0000fffa000100050001000000000000000200000000000000000000ffff0000000200020001ffff,A1M/1-1A1B,A1MBG,A1MBG08,55.9786697,-3.1918066
803773493024,31,080118000000000000000000000000000000000000000000000000000000000007ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,NULL,NULL,NULL,NULL,NULL
803773493024,24.4,080118000000000000000000000000000000000000000000000000000000000007ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,NULL,NULL,NULL,NULL,NULL
9cd36d1c6118,24.4,0801180000000000000100000003fffffffb00050008fff7fff2000f001cffe607f8000000220098fff10006ffff001100250010fff900180000fffefffc00030001fffdfffe00020000fffe000000000001ffff000000020001ffff0001000100000001,A1M/1-1A1B,A1MBG,A1MBG09,55.9787285,-3.1918718
9cd36d1c6118,37.6,080118000000000000010000000000000000ffffffff00020001fffbfffd000507ff00000002ffddfff700070006fffe0005ffed0000fffa000200000001000000000001000000000000ffff000000000000000000010000000000000000000000000000,A1M/1-1A1B,A1MBG,A1MBG09,55.9787285,-3.1918718
9cd36dce7f68,37.6,08011800002dfffeffaf001a0099ffd2ff16005e0195ff6cfd3b011b066dfcf77f7d0000f8f0ffd4018cff25fefa00e300d001b1fdc800f10102ffb7ffc0ffd50088ffca000c003f0023ffe80021001c007a002200340000ffeeffe2004d005d002d0033,A1M/1-1A1B,A1MDC,A1MDC02,55.9789061,-3.1846335
9cd36dce7f68,24.4,08011800002efff7ffa800190087ffe3ff3c00320160ffb8fd8d007b057affb77f8f0000fd10069f02920095fdc7015a01bb0036fe59003d009effd3ffa40024002bffe8ffdc00120014fff9fff9fff90017ffeb00190003fff0ffff0018000100090005,A1M/1-1A1B,A1MDC,A1MDC02,55.9789061,-3.1846335
9cd36dd6da04,31,080118000014fff0ffca0013004effd3ff80005000abff87fece00f10282fe007fd80000fd87039401bcfec9ff020023007f005effe8ff7f0088ffaeffdb0022fff70059fff3001c001c0020001e0000ffe30000ffe90011ffea003a0038001800220033,A1M/1-1A1B,A1MDF,A1MDF05,55.97822379999999,-3.183635
9cd36dd6da04,24.4,08011800000afff5ffe9000b0030ffe3ffc7003c0045ffb3ff89009b00e5ffa17fe40000ff5e04ca0023ff1e005b0046001aff3f001200980055003ffff80021000400130007000e000c002000000011000d001400170019ffe8001300280014000a0021,A1M/1-1A1B,A1MDF,A1MDF05,55.97822379999999,-3.183635
9cd36dd93c2c,37.6,08011800000f001fffef000900520020ffb2ffe400900061ff28ffa1017800e57fb90000fc7bfee5ff6a01e4fdd4ffaf0169f9a2ffda0012007a0031ffccfff30016002affcd0053fffc000e0013001afff90020005100180002fff9003b005100080046,A1M/1-1A1B,A1MBD,A1MBD05,55.9784115,-3.1865414
9cd36dd93c2c,31,08011800002e0044ffdbffbe005400aeff84ff1d009401b2ff33fd51018e05b67f2600000502f99e02e90169fe62fc99087aff1a017efece000b00c10034ff2200290067004dffa30017ffd500230006fffcffd7ffdd0009000a00100020000c0026fffc,A1M/1-1A1B,A1MBD,A1MBD05,55.9784115,-3.1865414
9cd36ddf2e48,31,08011800002f0031ffdbffb300550089ff9bff35007d0184ff56fda2018404bd7f2b00000591f904039a0144ff2dfd200843fe91002cfe6d004d003fffb1ff790049ffe60082ff8b001f001d0030fff00002ffeafffffffbfffe00230044ffe70027fff7,A1M/1-1A1B,A1MBB,A1MBB10,55.977669,-3.1908312
9cd36ddf2e48,24.4,080118000048ffbdffb6008a0070ff15ff81018b009cfd7bff7b0428004ef88f7e3000000b230d3802d8fcbe00de03e704e502a4ff0f024bffe6fe2900740119ffd9ff6500300032ffd1ff92003a003cffe500170038000cffed001c001f00010016fff8,A1M/1-1A1B,A1MBB,A1MBB10,55.977669,-3.1908312
9cd36de4cd58,31,0801180000330043ffdaffb70082008aff65ff1d00d601aefee1fd44029405c17f0200000505f7bd0425009cff2cfca3083ffe9200a2fe55006800ccffe6ff3d003effff0071ffb90016003f0032fff40001ffdc00060014fff3001b0039001d001b000b,A1M/1-1A1B,A1MBC,A1MBC08,55.9777357,-3.1895447
9cd36de4cd58,37.6,08011800000c000f000cfff0001400290007ffcfffec0064003bff5aff2100f07fcf0000fe6bfe05004c001ffff8fee80058f9f3ff77fff400470045ffe9ffefffa2008effd500630052ffe2fffa0014000300410044001cfffeffeb0028005c002c001c,A1M/1-1A1B,A1MBC,A1MBC08,55.9777357,-3.1895447
a021b7081c3c,37.6,0801180000160015fffeffff0033002fffd0ffdd0053005dff9bff91008b00987fcd0000fd7cfddd007101010026ff6f007ffa20ff2c005f0086001effddfff1ffa90088ffb6008e0056ffe6ffee0015001a0036004d0009fffeffdf003300400025001f,A1M/1-1A1B,A1MBB,A1MBB10,55.97765589999999,-3.1908605
